"","strain","subtype","date","country","state","season","lat","lng"
"19348","CY238923","H3N2","2017-06-16","USA","Arizona","2016-2017",34.0489281,-111.0937311
"20178","CY238915","H3N2","2017-06-13","USA","Arizona","2016-2017",34.0489281,-111.0937311
"57733","CY238907","H3N2","2017-06-07","USA","Florida","2016-2017",27.6648274,-81.5157535
"231240","CY238859","H3N2","2017-06-07","USA","Utah","2016-2017",39.3209801,-111.0937311
"230779","CY238867","H3N2","2017-06-02","USA","Utah","2016-2017",39.3209801,-111.0937311
"29141","CY236000","H3N2","2017-05-31","USA","California","192017-2005",36.778261,-119.4179324
"99959","CY235952","H3N2","2017-05-31","USA","Louisiana","192017-2005",30.9842977,-91.9623327
"222892","CY238875","H3N2","2017-05-30","USA","Texas","192017-2005",31.9685988,-99.9018131
"58001","CY235912","H3N2","2017-05-22","USA","Florida","192017-2005",27.6648274,-81.5157535
"120676","CY238931","H3N2","2017-05-22","USA","Michigan","192017-2005",44.3148443,-85.6023643
"188756","CY235936","H3N2","2017-05-22","USA","North Dakota","192017-2005",47.5514926,-101.0020119
"18571","CY238891","H3N2","2017-05-21","USA","Arizona","192017-2005",34.0489281,-111.0937311
"18992","CY238899","H3N2","2017-05-21","USA","Arizona","192017-2005",34.0489281,-111.0937311
"56243","CY235880","H3N2","2017-05-19","USA","Florida","192017-2005",27.6648274,-81.5157535
"209519","CY235448","H3N2","2017-05-19","USA","South Carolina","192017-2005",33.836081,-81.1637245
"132133","CY235976","H3N2","2017-05-15","USA","Minnesota","192017-2005",46.729553,-94.6858998
"188466","CY235920","H3N2","2017-05-14","USA","North Dakota","192017-2005",47.5514926,-101.0020119
"98360","CY235416","H3N2","2017-05-13","USA","Louisiana","192017-2005",30.9842977,-91.9623327
"126129","CY235816","H3N2","2017-05-13","USA","Minnesota","192017-2005",46.729553,-94.6858998
"129775","CY235968","H3N2","2017-05-12","USA","Minnesota","192017-2005",46.729553,-94.6858998
"106191","CY235984","H3N2","2017-05-11","USA","Maryland","192017-2005",39.0457549,-76.6412712
"230499","CY235784","H3N2","2017-05-11","USA","Utah","192017-2005",39.3209801,-111.0937311
"54059","CY235872","H3N2","2017-05-10","USA","Florida","192017-2005",27.6648274,-81.5157535
"1072","CY234746","H3N2","2017-05-09","USA","Alabama","192017-2005",32.3182314,-86.902298
"60819","CY235824","H3N2","2017-05-08","USA","Hawaii","192017-2005",21.3155434,-157.8615682
"236054","CY238851","H3N2","2017-05-08","USA","Washington","192017-2005",47.7510741,-120.7401385
"244616","CY234818","H3N2","2017-05-08","USA","Wisconsin","192017-2005",43.7844397,-88.7878678
"230253","CY235792","H3N2","2017-05-07","USA","Utah","192017-2005",39.3209801,-111.0937311
"1032","CY234754","H3N2","2017-05-04","USA","Alabama","192017-2005",32.3182314,-86.902298
"718","CY234762","H3N2","2017-05-04","USA","Alabama","192017-2005",32.3182314,-86.902298
"870","CY234770","H3N2","2017-05-04","USA","Alabama","192017-2005",32.3182314,-86.902298
"99509","CY234794","H3N2","2017-05-02","USA","Louisiana","192017-2005",30.9842977,-91.9623327
"18628","CY238883","H3N2","2017-05-01","USA","Arizona","192017-2005",34.0489281,-111.0937311
"117983","CY234706","H3N2","2017-05-01","USA","Michigan","192017-2005",44.3148443,-85.6023643
"246385","CY234810","H3N2","2017-05-01","USA","Wisconsin","192017-2005",43.7844397,-88.7878678
"53335","CY234834","H3N2","2017-04-30","USA","Florida","192017-2004",27.6648274,-81.5157535
"240064","CY234866","H3N2","2017-04-30","USA","West Virginia","192017-2004",38.5976262,-80.4549026
"105136","CY234874","H3N2","2017-04-29","USA","Maryland","192017-2004",39.0457549,-76.6412712
"121815","CY234682","H3N2","2017-04-29","USA","Minnesota","192017-2004",46.729553,-94.6858998
"43410","CY234778","H3N2","2017-04-28","USA","Connecticut","192017-2004",41.6032207,-73.087749
"65713","CY235752","H3N2","2017-04-28","USA","Idaho","192017-2004",44.0682019,-114.7420408
"56966","CY234842","H3N2","2017-04-27","USA","Florida","192017-2004",27.6648274,-81.5157535
"208862","CY235400","H3N2","2017-04-27","USA","South Carolina","192017-2004",33.836081,-81.1637245
"214204","CY238639","H3N2","2017-04-27","USA","Tennessee","192017-2004",35.5174913,-86.5804473
"99346","CY234802","H3N2","2017-04-26","USA","Louisiana","192017-2004",30.9842977,-91.9623327
"107335","CY234658","H3N2","2017-04-26","USA","Maryland","192017-2004",39.0457549,-76.6412712
"223614","CY234738","H3N2","2017-04-26","USA","Texas","192017-2004",31.9685988,-99.9018131
"238810","CY235776","H3N2","2017-04-26","USA","Washington","192017-2004",47.7510741,-120.7401385
"18935","CY235712","H3N2","2017-04-25","USA","Arizona","192017-2004",34.0489281,-111.0937311
"144951","CY235680","H3N2","2017-04-25","USA","Nevada","192017-2004",38.8026097,-116.419389
"223687","CY234730","H3N2","2017-04-25","USA","Texas","192017-2004",31.9685988,-99.9018131
"125950","CY234690","H3N2","2017-04-24","USA","Minnesota","192017-2004",46.729553,-94.6858998
"231885","CY235648","H3N2","2017-04-24","USA","Utah","192017-2004",39.3209801,-111.0937311
"146397","CY234546","H3N2","2017-04-23","USA","New Hampshire","192017-2004",43.1938516,-71.5723953
"10267","CY235632","H3N2","2017-04-22","USA","Alaska","192017-2004",64.2008413,-149.4936733
"90798","CY234610","H3N2","2017-04-21","USA","Iowa","192017-2004",41.8780025,-93.097702
"97920","CY232618","H3N2","2017-04-21","USA","Louisiana","192017-2004",30.9842977,-91.9623327
"134870","CY234674","H3N2","2017-04-21","USA","Mississippi","192017-2004",32.3546679,-89.3985283
"250307","CY234626","H3N2","2017-04-20","USA","Wisconsin","192017-2004",43.7844397,-88.7878678
"56254","CY234562","H3N2","2017-04-19","USA","Florida","192017-2004",27.6648274,-81.5157535
"234077","CY234858","H3N2","2017-04-19","USA","Virginia","192017-2004",37.4315734,-78.6568942
"212245","CY235848","H3N2","2017-04-18","USA","South Dakota","192017-2004",43.9695148,-99.9018131
"41943","CY234578","H3N2","2017-04-17","USA","Connecticut","192017-2004",41.6032207,-73.087749
"114609","CY234498","H3N2","2017-04-17","USA","Massachusetts","192017-2004",42.4072107,-71.3824374
"120427","CY234698","H3N2","2017-04-17","USA","Michigan","192017-2004",44.3148443,-85.6023643
"213386","CY238662","H3N2","2017-04-17","USA","Tennessee","192017-2004",35.5174913,-86.5804473
"238906","CY235624","H3N2","2017-04-17","USA","Washington","192017-2004",47.7510741,-120.7401385
"238911","CY235616","H3N2","2017-04-17","USA","Washington","192017-2004",47.7510741,-120.7401385
"19632","CY234506","H3N2","2017-04-16","USA","Arizona","192017-2004",34.0489281,-111.0937311
"119376","CY232610","H3N2","2017-04-16","USA","Michigan","192017-2004",44.3148443,-85.6023643
"76447","CY234642","H3N2","2017-04-15","USA","Indiana","192017-2004",40.2671941,-86.1349019
"107812","CY234474","H3N2","2017-04-15","USA","Maryland","192017-2004",39.0457549,-76.6412712
"77211","CY234634","H3N2","2017-04-13","USA","Indiana","192017-2004",40.2671941,-86.1349019
"100920","CY232547","H3N2","2017-04-13","USA","Maine","192017-2004",45.253783,-69.4454689
"214521","CY238235","H3N2","2017-04-13","USA","Tennessee","192017-2004",35.5174913,-86.5804473
"230957","CY230826","H3N2","2017-04-13","USA","Utah","192017-2004",39.3209801,-111.0937311
"244395","CY233346","H3N2","2017-04-13","USA","Wisconsin","192017-2004",43.7844397,-88.7878678
"125235","CY232586","H3N2","2017-04-12","USA","Minnesota","192017-2004",46.729553,-94.6858998
"208744","CY234216","H3N2","2017-04-12","USA","South Carolina","192017-2004",33.836081,-81.1637245
"82661","CY234602","H3N2","2017-04-11","USA","Iowa","192017-2004",41.8780025,-93.097702
"98488","CY230770","H3N2","2017-04-11","USA","Louisiana","192017-2004",30.9842977,-91.9623327
"214125","CY232562","H3N2","2017-04-11","USA","Tennessee","192017-2004",35.5174913,-86.5804473
"253163","CY230874","H3N2","2017-04-11","USA","Wyoming","192017-2004",43.0759678,-107.2902839
"75473","CY230890","H3N2","2017-04-10","USA","Indiana","192017-2004",40.2671941,-86.1349019
"108641","CY234466","H3N2","2017-04-10","USA","Maryland","192017-2004",39.0457549,-76.6412712
"117524","CY238593","H3N2","2017-04-10","USA","Michigan","192017-2004",44.3148443,-85.6023643
"207971","CY232492","H3N2","2017-04-10","USA","Rhode Island","192017-2004",41.5800945,-71.4774291
"18081","CY235592","H3N2","2017-04-09","USA","Arizona","192017-2004",34.0489281,-111.0937311
"163720","CY234722","H3N2","2017-04-09","USA","New York","192017-2004",40.7127753,-74.0059728
"146664","CY232524","H3N2","2017-04-08","USA","New Hampshire","192017-2004",43.1938516,-71.5723953
"240248","CY236035","H3N2","2017-04-08","USA","West Virginia","192017-2004",38.5976262,-80.4549026
"65508","CY235744","H3N2","2017-04-07","USA","Idaho","192017-2004",44.0682019,-114.7420408
"114917","CY234490","H3N2","2017-04-07","USA","Massachusetts","192017-2004",42.4072107,-71.3824374
"235224","CY234850","H3N2","2017-04-07","USA","Virginia","192017-2004",37.4315734,-78.6568942
"119609","CY232602","H3N2","2017-04-06","USA","Michigan","192017-2004",44.3148443,-85.6023643
"146368","CY232516","H3N2","2017-04-06","USA","New Hampshire","192017-2004",43.1938516,-71.5723953
"252987","CY230866","H3N2","2017-04-06","USA","Wyoming","192017-2004",43.0759678,-107.2902839
"75564","CY230882","H3N2","2017-04-05","USA","Indiana","192017-2004",40.2671941,-86.1349019
"167085","CY234514","H3N2","2017-04-05","USA","New York","192017-2004",40.7127753,-74.0059728
"55348","CY232412","H3N2","2017-04-04","USA","Florida","192017-2004",27.6648274,-81.5157535
"157506","CY230730","H3N2","2017-04-04","USA","New Mexico","192017-2004",34.5199402,-105.8700901
"199186","CY232356","H3N2","2017-04-04","USA","Ohio","192017-2004",40.4172871,-82.907123
"238806","CY235768","H3N2","2017-04-04","USA","Washington","192017-2004",47.7510741,-120.7401385
"11262","CY235496","H3N2","2017-04-03","USA","Alaska","192017-2004",64.2008413,-149.4936733
"50032","CY232436","H3N2","2017-04-03","USA","Delaware","192017-2004",38.9108325,-75.5276699
"83540","CY230786","H3N2","2017-04-03","USA","Iowa","192017-2004",41.8780025,-93.097702
"119185","CY233408","H3N2","2017-04-03","USA","Michigan","192017-2004",44.3148443,-85.6023643
"185154","CY232578","H3N2","2017-04-03","USA","North Carolina","192017-2004",35.7595731,-79.0192997
"246205","CY230810","H3N2","2017-04-03","USA","Wisconsin","192017-2004",43.7844397,-88.7878678
"21040","CY232594","H3N2","2017-04-02","USA","Arkansas","192017-2004",35.20105,-91.8318334
"71235","CY228917","H3N2","2017-04-02","USA","Illinois","192017-2004",40.6331249,-89.3985283
"232853","CY232500","H3N2","2017-04-01","USA","Vermont","192017-2004",44.5588028,-72.5778415
"232257","CY232508","H3N2","2017-04-01","USA","Vermont","192017-2004",44.5588028,-72.5778415
"240291","CY232460","H3N2","2017-04-01","USA","West Virginia","192017-2004",38.5976262,-80.4549026
"43206","CY232540","H3N2","2017-03-31","USA","Connecticut","192017-2003",41.6032207,-73.087749
"57702","CY232468","H3N2","2017-03-31","USA","Florida","192017-2003",27.6648274,-81.5157535
"64886","CY230842","H3N2","2017-03-31","USA","Idaho","192017-2003",44.0682019,-114.7420408
"216690","CY238569","H3N2","2017-03-31","USA","Texas","192017-2003",31.9685988,-99.9018131
"483","CY230674","H3N2","2017-03-30","USA","Alabama","192017-2003",32.3182314,-86.902298
"1695","CY230738","H3N2","2017-03-30","USA","Alaska","192017-2003",64.2008413,-149.4936733
"55063","CY232404","H3N2","2017-03-30","USA","Florida","192017-2003",27.6648274,-81.5157535
"96493","CY232316","H3N2","2017-03-30","USA","Kentucky","192017-2003",37.8393332,-84.2700179
"109826","CY232364","H3N2","2017-03-30","USA","Massachusetts","192017-2003",42.4072107,-71.3824374
"118733","CY233400","H3N2","2017-03-30","USA","Michigan","192017-2003",44.3148443,-85.6023643
"117632","CY228933","H3N2","2017-03-30","USA","Michigan","192017-2003",44.3148443,-85.6023643
"201678","CY234530","H3N2","2017-03-30","USA","Oklahoma","192017-2003",35.0077519,-97.092877
"201561","CY234538","H3N2","2017-03-30","USA","Oklahoma","192017-2003",35.0077519,-97.092877
"230337","CY228853","H3N2","2017-03-30","USA","Utah","192017-2003",39.3209801,-111.0937311
"231044","CY228861","H3N2","2017-03-30","USA","Utah","192017-2003",39.3209801,-111.0937311
"234019","CY232324","H3N2","2017-03-30","USA","Virginia","192017-2003",37.4315734,-78.6568942
"234959","CY232332","H3N2","2017-03-30","USA","Virginia","192017-2003",37.4315734,-78.6568942
"490","CY230682","H3N2","2017-03-29","USA","Alabama","192017-2003",32.3182314,-86.902298
"95128","CY232310","H3N2","2017-03-29","USA","Kentucky","192017-2003",37.8393332,-84.2700179
"100431","CY228653","H3N2","2017-03-29","USA","Maine","192017-2003",45.253783,-69.4454689
"164382","CY232396","H3N2","2017-03-29","USA","New York","192017-2003",40.7127753,-74.0059728
"210213","CY235864","H3N2","2017-03-29","USA","South Dakota","192017-2003",43.9695148,-99.9018131
"217589","CY238561","H3N2","2017-03-29","USA","Texas","192017-2003",31.9685988,-99.9018131
"42150","CY232532","H3N2","2017-03-28","USA","Connecticut","192017-2003",41.6032207,-73.087749
"129761","CY228901","H3N2","2017-03-28","USA","Minnesota","192017-2003",46.729553,-94.6858998
"130493","CY228909","H3N2","2017-03-28","USA","Minnesota","192017-2003",46.729553,-94.6858998
"146196","CY228781","H3N2","2017-03-28","USA","New Hampshire","192017-2003",43.1938516,-71.5723953
"171797","CY234522","H3N2","2017-03-28","USA","New York","192017-2003",40.7127753,-74.0059728
"213655","CY234288","H3N2","2017-03-28","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"214631","CY228549","H3N2","2017-03-28","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"18044","CY230650","H3N2","2017-03-27","USA","Arizona","192017-2003",34.0489281,-111.0937311
"21301","CY228741","H3N2","2017-03-27","USA","Arkansas","192017-2003",35.20105,-91.8318334
"43091","CY231139","H3N2","2017-03-27","USA","Connecticut","192017-2003",41.6032207,-73.087749
"61625","CY235568","H3N2","2017-03-27","USA","Hawaii","192017-2003",21.3155434,-157.8615682
"117820","CY233448","H3N2","2017-03-27","USA","Michigan","192017-2003",44.3148443,-85.6023643
"185368","CY234826","H3N2","2017-03-27","USA","North Carolina","192017-2003",35.7595731,-79.0192997
"156844","CY228837","H3N2","2017-03-26","USA","New Mexico","192017-2003",34.5199402,-105.8700901
"157652","CY228845","H3N2","2017-03-26","USA","New Mexico","192017-2003",34.5199402,-105.8700901
"207846","CY232484","H3N2","2017-03-26","USA","Rhode Island","192017-2003",41.5800945,-71.4774291
"144657","CY235552","H3N2","2017-03-25","USA","Nevada","192017-2003",38.8026097,-116.419389
"146083","CY228773","H3N2","2017-03-25","USA","New Hampshire","192017-2003",43.1938516,-71.5723953
"228312","CY227838","H3N2","2017-03-25","USA","Texas","192017-2003",31.9685988,-99.9018131
"61776","CY234482","H3N2","2017-03-24","USA","Hawaii","192017-2003",21.3155434,-157.8615682
"34548","MF182461","H3N2","2017-03-23","USA","California","192017-2003",36.778261,-119.4179324
"46661","CY228581","H3N2","2017-03-23","USA","Delaware","192017-2003",38.9108325,-75.5276699
"56682","CY228429","H3N2","2017-03-23","USA","Florida","192017-2003",27.6648274,-81.5157535
"71586","CY228613","H3N2","2017-03-23","USA","Illinois","192017-2003",40.6331249,-89.3985283
"134470","CY228541","H3N2","2017-03-23","USA","Mississippi","192017-2003",32.3546679,-89.3985283
"181534","CY232340","H3N2","2017-03-23","USA","North Carolina","192017-2003",35.7595731,-79.0192997
"216052","CY233306","H3N2","2017-03-23","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"27275","MF182482","H3N2","2017-03-22","USA","California","192017-2003",36.778261,-119.4179324
"119934","CY233384","H3N2","2017-03-22","USA","Michigan","192017-2003",44.3148443,-85.6023643
"117815","CY233432","H3N2","2017-03-22","USA","Michigan","192017-2003",44.3148443,-85.6023643
"19205","CY230642","H3N2","2017-03-21","USA","Arizona","192017-2003",34.0489281,-111.0937311
"44277","CY227902","H3N2","2017-03-21","USA","Delaware","192017-2003",38.9108325,-75.5276699
"87884","CY228749","H3N2","2017-03-21","USA","Iowa","192017-2003",41.8780025,-93.097702
"155488","CY228805","H3N2","2017-03-21","USA","New Jersey","192017-2003",40.0583238,-74.4056612
"209448","CY227926","H3N2","2017-03-21","USA","South Carolina","192017-2003",33.836081,-81.1637245
"220083","CY227782","H3N2","2017-03-21","USA","Texas","192017-2003",31.9685988,-99.9018131
"224598","CY238362","H3N2","2017-03-21","USA","Texas","192017-2003",31.9685988,-99.9018131
"248922","CY230349","H3N2","2017-03-21","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"251174","CY230357","H3N2","2017-03-21","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"172","CY230690","H3N2","2017-03-20","USA","Alabama","192017-2003",32.3182314,-86.902298
"55041","CY228413","H3N2","2017-03-20","USA","Florida","192017-2003",27.6648274,-81.5157535
"58711","CY232380","H3N2","2017-03-20","USA","Georgia","192017-2003",32.1656221,-82.9000751
"61993","CY230666","H3N2","2017-03-20","USA","Hawaii","192017-2003",21.3155434,-157.8615682
"64018","CY230834","H3N2","2017-03-20","USA","Idaho","192017-2003",44.0682019,-114.7420408
"98994","CY230762","H3N2","2017-03-20","USA","Louisiana","192017-2003",30.9842977,-91.9623327
"134715","CY228533","H3N2","2017-03-20","USA","Mississippi","192017-2003",32.3546679,-89.3985283
"152299","CY228797","H3N2","2017-03-20","USA","New Jersey","192017-2003",40.0583238,-74.4056612
"213758","CY233259","H3N2","2017-03-20","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"236063","CY234408","H3N2","2017-03-20","USA","Washington","192017-2003",47.7510741,-120.7401385
"20727","CY228725","H3N2","2017-03-19","USA","Arkansas","192017-2003",35.20105,-91.8318334
"236999","CY228589","H3N2","2017-03-19","USA","Washington","192017-2003",47.7510741,-120.7401385
"246358","CY228701","H3N2","2017-03-19","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"118276","CY228717","H3N2","2017-03-17","USA","Michigan","192017-2003",44.3148443,-85.6023643
"188130","CY227806","H3N2","2017-03-17","USA","North Dakota","192017-2003",47.5514926,-101.0020119
"228297","CY227758","H3N2","2017-03-17","USA","Texas","192017-2003",31.9685988,-99.9018131
"59357","CY232372","H3N2","2017-03-16","USA","Georgia","192017-2003",32.1656221,-82.9000751
"96779","CY228357","H3N2","2017-03-16","USA","Kentucky","192017-2003",37.8393332,-84.2700179
"97880","CY227878","H3N2","2017-03-16","USA","Louisiana","192017-2003",30.9842977,-91.9623327
"100468","CY227542","H3N2","2017-03-16","USA","Maine","192017-2003",45.253783,-69.4454689
"189101","CY227798","H3N2","2017-03-16","USA","North Dakota","192017-2003",47.5514926,-101.0020119
"231284","CY225398","H3N2","2017-03-16","USA","Utah","192017-2003",39.3209801,-111.0937311
"807","CY232420","H3N2","2017-03-15","USA","Alabama","192017-2003",32.3182314,-86.902298
"61118","CY228685","H3N2","2017-03-15","USA","Hawaii","192017-2003",21.3155434,-157.8615682
"123066","CY227814","H3N2","2017-03-15","USA","Minnesota","192017-2003",46.729553,-94.6858998
"240324","CY235488","H3N2","2017-03-15","USA","West Virginia","192017-2003",38.5976262,-80.4549026
"33737","MF182464","H3N2","2017-03-14","USA","California","192017-2003",36.778261,-119.4179324
"70848","CY227774","H3N2","2017-03-14","USA","Illinois","192017-2003",40.6331249,-89.3985283
"199874","CY228765","H3N2","2017-03-14","USA","Oklahoma","192017-2003",35.0077519,-97.092877
"202665","CY230602","H3N2","2017-03-14","USA","Oregon","192017-2003",43.8041334,-120.5542012
"215449","CY227630","H3N2","2017-03-14","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"213350","CY227638","H3N2","2017-03-14","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"226752","CY238354","H3N2","2017-03-14","USA","Texas","192017-2003",31.9685988,-99.9018131
"18577","CY234192","H3N2","2017-03-13","USA","Arizona","192017-2003",34.0489281,-111.0937311
"69319","CY227766","H3N2","2017-03-13","USA","Illinois","192017-2003",40.6331249,-89.3985283
"82203","CY227598","H3N2","2017-03-13","USA","Iowa","192017-2003",41.8780025,-93.097702
"100136","CY227534","H3N2","2017-03-13","USA","Maine","192017-2003",45.253783,-69.4454689
"117167","CY233370","H3N2","2017-03-13","USA","Michigan","192017-2003",44.3148443,-85.6023643
"135543","CY231099","H3N2","2017-03-13","USA","Mississippi","192017-2003",32.3546679,-89.3985283
"157099","CY225422","H3N2","2017-03-13","USA","New Mexico","192017-2003",34.5199402,-105.8700901
"196399","CY231077","H3N2","2017-03-13","USA","Ohio","192017-2003",40.4172871,-82.907123
"199721","CY228757","H3N2","2017-03-13","USA","Oklahoma","192017-2003",35.0077519,-97.092877
"232224","CY228509","H3N2","2017-03-13","USA","Vermont","192017-2003",44.5588028,-72.5778415
"232433","CY228517","H3N2","2017-03-13","USA","Vermont","192017-2003",44.5588028,-72.5778415
"239857","CY232444","H3N2","2017-03-13","USA","West Virginia","192017-2003",38.5976262,-80.4549026
"244895","CY227718","H3N2","2017-03-13","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"210924","CY235840","H3N2","2017-03-12","USA","South Dakota","192017-2003",43.9695148,-99.9018131
"231849","CY225406","H3N2","2017-03-12","USA","Utah","192017-2003",39.3209801,-111.0937311
"109069","CY228381","H3N2","2017-03-11","USA","Maryland","192017-2003",39.0457549,-76.6412712
"106168","CY232303","H3N2","2017-03-11","USA","Maryland","192017-2003",39.0457549,-76.6412712
"154163","CY227566","H3N2","2017-03-10","USA","New Jersey","192017-2003",40.0583238,-74.4056612
"202500","CY230594","H3N2","2017-03-10","USA","Oregon","192017-2003",43.8041334,-120.5542012
"209411","MF182524","H3N2","2017-03-10","USA","South Carolina","192017-2003",33.836081,-81.1637245
"215753","CY230277","H3N2","2017-03-10","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"65765","CY228893","H3N2","2017-03-09","USA","Idaho","192017-2003",44.0682019,-114.7420408
"80527","CY227582","H3N2","2017-03-09","USA","Indiana","192017-2003",40.2671941,-86.1349019
"96549","CY228365","H3N2","2017-03-09","USA","Kentucky","192017-2003",37.8393332,-84.2700179
"100914","CY231091","H3N2","2017-03-09","USA","Maine","192017-2003",45.253783,-69.4454689
"104552","CY231118","H3N2","2017-03-09","USA","Maryland","192017-2003",39.0457549,-76.6412712
"105406","CY232296","H3N2","2017-03-09","USA","Maryland","192017-2003",39.0457549,-76.6412712
"113081","CY231132","H3N2","2017-03-09","USA","Massachusetts","192017-2003",42.4072107,-71.3824374
"117174","CY230117","H3N2","2017-03-09","USA","Michigan","192017-2003",44.3148443,-85.6023643
"146644","CY227654","H3N2","2017-03-09","USA","New Hampshire","192017-2003",43.1938516,-71.5723953
"157927","CY225414","H3N2","2017-03-09","USA","New Mexico","192017-2003",34.5199402,-105.8700901
"214224","CY233290","H3N2","2017-03-09","USA","Tennessee","192017-2003",35.5174913,-86.5804473
"39015","CY224142","H3N2","2017-03-08","USA","California","192017-2003",36.778261,-119.4179324
"39019","CY234248","H3N2","2017-03-08","USA","California","192017-2003",36.778261,-119.4179324
"27569","MF182469","H3N2","2017-03-08","USA","California","192017-2003",36.778261,-119.4179324
"54452","CY227438","H3N2","2017-03-08","USA","Florida","192017-2003",27.6648274,-81.5157535
"54851","CY227670","H3N2","2017-03-08","USA","Florida","192017-2003",27.6648274,-81.5157535
"99724","CY227678","H3N2","2017-03-08","USA","Louisiana","192017-2003",30.9842977,-91.9623327
"100172","CY227454","H3N2","2017-03-08","USA","Maine","192017-2003",45.253783,-69.4454689
"155804","CY227558","H3N2","2017-03-08","USA","New Jersey","192017-2003",40.0583238,-74.4056612
"184974","CY232348","H3N2","2017-03-08","USA","North Carolina","192017-2003",35.7595731,-79.0192997
"220933","CY227830","H3N2","2017-03-08","USA","Texas","192017-2003",31.9685988,-99.9018131
"120333","CY230069","H3N2","2017-03-07","USA","Michigan","192017-2003",44.3148443,-85.6023643
"186096","CY227622","H3N2","2017-03-07","USA","North Carolina","192017-2003",35.7595731,-79.0192997
"225296","CY225262","H3N2","2017-03-07","USA","Texas","192017-2003",31.9685988,-99.9018131
"244712","CY230213","H3N2","2017-03-07","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"246530","CY230229","H3N2","2017-03-07","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"1096","CY230714","H3N2","2017-03-06","USA","Alabama","192017-2003",32.3182314,-86.902298
"64306","CY224118","H3N2","2017-03-06","USA","Idaho","192017-2003",44.0682019,-114.7420408
"64747","CY228885","H3N2","2017-03-06","USA","Idaho","192017-2003",44.0682019,-114.7420408
"68495","CY225230","H3N2","2017-03-06","USA","Illinois","192017-2003",40.6331249,-89.3985283
"70801","CY225238","H3N2","2017-03-06","USA","Illinois","192017-2003",40.6331249,-89.3985283
"80692","CY227590","H3N2","2017-03-06","USA","Indiana","192017-2003",40.2671941,-86.1349019
"144814","CY230618","H3N2","2017-03-06","USA","Nevada","192017-2003",38.8026097,-116.419389
"207223","CY227526","H3N2","2017-03-06","USA","Pennsylvania","192017-2003",41.2033216,-77.1945247
"218919","CY238298","H3N2","2017-03-06","USA","Texas","192017-2003",31.9685988,-99.9018131
"237898","CY230197","H3N2","2017-03-06","USA","Washington","192017-2003",47.7510741,-120.7401385
"240408","CY231125","H3N2","2017-03-06","USA","West Virginia","192017-2003",38.5976262,-80.4549026
"253550","CY225358","H3N2","2017-03-06","USA","Wyoming","192017-2003",43.0759678,-107.2902839
"43494","CY227574","H3N2","2017-03-05","USA","Connecticut","192017-2003",41.6032207,-73.087749
"99454","CY227686","H3N2","2017-03-05","USA","Louisiana","192017-2003",30.9842977,-91.9623327
"122032","CY225246","H3N2","2017-03-05","USA","Minnesota","192017-2003",46.729553,-94.6858998
"141198","CY227918","H3N2","2017-03-05","USA","Montana","192017-2003",46.8796822,-110.3625658
"220634","CY231063","H3N2","2017-03-05","USA","Texas","192017-2003",31.9685988,-99.9018131
"43372","CY235472","H3N2","2017-03-04","USA","Connecticut","192017-2003",41.6032207,-73.087749
"55776","CY227430","H3N2","2017-03-04","USA","Florida","192017-2003",27.6648274,-81.5157535
"133102","CY225254","H3N2","2017-03-04","USA","Minnesota","192017-2003",46.729553,-94.6858998
"40459","CY225374","H3N2","2017-03-03","USA","Colorado","192017-2003",39.5500507,-105.7820674
"237135","CY225334","H3N2","2017-03-03","USA","Washington","192017-2003",47.7510741,-120.7401385
"53703","CY227662","H3N2","2017-03-02","USA","Florida","192017-2003",27.6648274,-81.5157535
"144367","CY228461","H3N2","2017-03-02","USA","Nevada","192017-2003",38.8026097,-116.419389
"200563","CY227846","H3N2","2017-03-02","USA","Oklahoma","192017-2003",35.0077519,-97.092877
"233173","CY227446","H3N2","2017-03-02","USA","Vermont","192017-2003",44.5588028,-72.5778415
"253104","CY223181","H3N2","2017-03-02","USA","Wyoming","192017-2003",43.0759678,-107.2902839
"95986","CY227326","H3N2","2017-03-01","USA","Kentucky","192017-2003",37.8393332,-84.2700179
"209515","MF182523","H3N2","2017-03-01","USA","South Carolina","192017-2003",33.836081,-81.1637245
"222065","CY223293","H3N2","2017-03-01","USA","Texas","192017-2003",31.9685988,-99.9018131
"226081","CY227502","H3N2","2017-03-01","USA","Texas","192017-2003",31.9685988,-99.9018131
"248071","CY223309","H3N2","2017-03-01","USA","Wisconsin","192017-2003",43.7844397,-88.7878678
"156952","CY223221","H3N2","2017-02-28","USA","New Mexico","192017-2002",34.5199402,-105.8700901
"188992","CY223069","H3N2","2017-02-28","USA","North Dakota","192017-2002",47.5514926,-101.0020119
"203402","CY230858","H3N2","2017-02-28","USA","Oregon","192017-2002",43.8041334,-120.5542012
