"","tip.lab","dates"
"2101","CY207427","2015/01/04"
"2102","KY089178","2014/12/15"
"2103","CY207779","2015/03/04"
"2104","KT842498","2015/02/18"
"2105","KT842711","2015/02/27"
"2106","KT842382","2015/02/11"
"2107","KT841521","2015/01/01"
"2108","KT836364","2015/01/22"
"2109","KT837808","2014/10/14"
"2110","KT837960","2014/10/14"
"2111","KY090383","2015/01/22"
"2112","KT838076","2014/10/17"
"2113","CY193321","2014/11/24"
"2114","KU729481","2015/01/09"
"2115","CY193436","2014/12/08"
"2116","CY207459","2014/12/23"
"2117","KT836317","2015/01/27"
"2118","CY193793","2015/01/15"
"2119","CY193833","2015/01/12"
"2120","CY194041","2015/01/29"
"2121","KT836091","2015/01/22"
"2122","KT841005","2014/12/27"
"2123","CY207491","2015/01/15"
"2124","CY194058","2015/03/16"
"2125","KT842158","2015/02/05"
"2126","KT835946","2015/01/20"
"2127","KU729329","2015/01/29"
"2128","KY089989","2015/04/08"
"2129","KT839669","2014/12/01"
"2130","KT839090","2014/11/19"
"2131","KT840176","2014/12/10"
"2132","KT839403","2014/12/01"
"2133","KT837669","2014/10/30"
"2134","KT839351","2014/11/20"
"2135","CY207331","2014/12/02"
"2136","CY207867","2014/12/12"
"2137","CY207499","2015/01/19"
"2138","CY207611","2014/12/14"
"2139","CY193821","2015/01/21"
"2140","KY487460","2014/12/29"
"2141","KT843098","2015/03/02"
"2142","CY193739","2015/01/12"
"2143","CY193764","2015/01/16"
"2144","CY193624","2014/12/22"
"2145","CY193423","2014/12/08"
"2146","CY193405","2014/12/01"
"2147","CY193726","2015/01/12"
"2148","CY193334","2014/11/26"
"2149","CY193402","2014/11/25"
"2150","KY089829","2015/03/11"
"2151","KY089323","2015/03/11"
"2152","CY193358","2014/12/22"
"2153","CY193909","2015/01/14"
"2154","CY193478","2014/12/17"
"2155","KT837480","2014/10/11"
"2156","KT837447","2014/10/10"
"2157","CY193907","2015/01/28"
"2158","KT837410","2014/10/07"
"2159","KT839366","2014/11/24"
"2160","KT837574","2014/10/21"
"2161","KT837494","2014/10/11"
"2162","KY089480","2014/12/23"
"2163","KY615506","2014/12/27"
"2164","CY193564","2014/12/29"
"2165","KY487630","2015/01/03"
"2166","KY487765","2014/12/19"
"2167","KY615593","2014/12/30"
"2168","KY487568","2015/01/13"
"2169","CY193773","2015/01/13"
"2170","CY193775","2015/01/15"
"2171","KY089164","2014/12/26"
"2172","KT841091","2014/12/19"
"2173","CY193694","2015/01/08"
"2174","KT841159","2015/01/03"
"2175","CY193505","2014/12/29"
"2176","KY487421","2015/01/19"
"2177","KY615549","2014/12/29"
"2178","KY089522","2014/12/26"
"2179","KY487578","2015/01/18"
"2180","CY193804","2015/01/20"
"2181","KY089807","2015/03/10"
"2182","KT841218","2015/01/08"
"2183","KT840438","2014/12/19"
"2184","CY193538","2014/12/29"
"2185","CY193889","2015/01/26"
"2186","CY193887","2015/01/26"
"2187","KT841654","2015/01/06"
"2188","KT838939","2014/11/08"
"2189","CY193679","2015/01/09"
"2190","CY193896","2015/01/16"
"2191","CY193894","2015/01/13"
"2192","CY194022","2015/02/09"
"2193","KT220428","2015/01/05"
"2194","KY328778","2015/04/21"
"2195","KT220435","2015/01/13"
"2196","KY681577","2015/09/25"
"2197","KP877341","2015/02/19"
"2198","KY089222","2014/12/03"
"2199","KT220432","2015/02/02"
"2200","CY193934","2014/12/30"
"2201","KT840132","2014/12/09"
"2202","KP701659","2014/12/10"
"2203","KT840494","2014/12/12"
"2204","CY193862","2015/01/22"
"2205","KU558938","2015/01/19"
"2206","KT840064","2014/12/09"
"2207","KT840368","2014/12/14"
"2208","KT839341","2014/11/26"
"2209","KY090378","2015/01/26"
"2210","KT836094","2015/01/22"
"2211","CY193725","2015/01/08"
"2212","KU198899","2015/01/27"
"2213","KT843470","2015/04/18"
"2214","KT843433","2015/04/12"
"2215","KT252564","2015/03/06"
"2216","KT839894","2014/12/04"
"2217","KT843528","2015/04/19"
"2218","KT839850","2014/12/06"
"2219","KY089969","2015/04/02"
"2220","CY193605","2014/12/23"
"2221","KU558939","2015/01/21"
"2222","CY193935","2015/01/21"
"2223","KT837826","2014/10/10"
"2224","KT252568","2015/03/18"
"2225","KT841343","2015/01/03"
"2226","KT840718","2014/12/18"
"2227","KT838114","2014/10/14"
"2228","KY075839","2015/03/07"
"2229","KY075841","2015/03/24"
"2230","KT842604","2015/02/10"
"2231","KY075835","2015/02/10"
"2232","KY075844","2015/03/31"
"2233","KT837514","2014/10/18"
"2234","KY328783","2014/10/16"
"2235","KU729490","2015/01/14"
"2236","CY193522","2015/01/05"
"2237","KT840733","2014/12/14"
"2238","KT841630","2015/01/04"
"2239","KT840509","2014/12/19"
"2240","KU729330","2015/02/04"
"2241","KT840093","2014/12/07"
"2242","KT844307","2015/07/15"
"2243","KT838136","2014/10/22"
"2244","KT841040","2014/12/25"
"2245","CY193960","2015/01/23"
"2246","KU289622","2015/02/08"
"2247","KU289628","2015/02/23"
"2248","KU289616","2015/02/10"
"2249","KU289615","2015/01/11"
"2250","KU289626","2015/02/05"
"2251","KU289624","2014/12/10"
"2252","KU289625","2015/02/03"
"2253","KU289633","2015/02/12"
"2254","KU289623","2014/12/15"
"2255","KU289608","2015/02/27"
"2256","KU289607","2015/02/23"
"2257","KU289609","2015/02/23"
"2258","KU289606","2015/02/23"
"2259","KU289612","2015/02/25"
"2260","KU289630","2015/02/23"
"2261","KY509836","2016/02/22"
"2262","KU558944","2015/02/21"
"2263","KU289627","2015/02/20"
"2264","KU289632","2015/02/06"
"2265","KP877372","2015/02/25"
"2266","KU558977","2015/11/21"
"2267","KT205932","2014/12/01"
"2268","KY328781","2015/01/17"
"2269","KY328784","2014/12/01"
"2270","KU558934","2014/12/16"
"2271","KU289629","2015/02/02"
"2272","KT839892","2014/12/09"
"2273","CY193861","2014/12/15"
"2274","KT839852","2014/12/09"
"2275","CY193998","2015/01/26"
"2276","CY193276","2014/11/12"
"2277","CY193277","2014/11/19"
"2278","KT841450","2015/01/02"
"2279","CY193279","2014/11/25"
"2280","CY193260","2014/10/23"
"2281","CY193280","2014/12/01"
"2282","KT837746","2014/10/01"
"2283","KT842670","2015/02/03"
"2284","CY193913","2015/01/26"
"2285","KT839471","2014/12/02"
"2286","KP335966","2014/08/05"
"2287","KU729488","2015/01/08"
"2288","CY194036","2015/02/12"
"2289","KT836216","2015/01/20"
"2290","KT837800","2014/10/03"
"2291","KT839376","2014/11/10"
"2292","KT837174","2014/09/16"
"2293","KT837036","2014/09/20"
"2294","KT837123","2014/09/08"
"2295","KT838468","2014/11/19"
"2296","KT839487","2014/12/02"
"2297","KT839223","2014/11/11"
"2298","CY193683","2015/01/07"
"2299","CY193962","2015/01/27"
"2300","CY193384","2014/12/09"
"2301","KT839530","2014/12/02"
"2302","KP877369","2015/02/11"
"2303","CY193648","2015/01/08"
"2304","CY193362","2014/12/04"
"2305","KT841797","2015/01/07"
"2306","KT840216","2014/12/04"
"2307","KY089974","2014/11/17"
"2308","KY089893","2014/09/04"
"2309","KT838150","2014/10/18"
"2310","KT838600","2014/11/02"
"2311","KT840998","2014/12/15"
"2312","KT841079","2014/12/15"
"2313","CY193677","2015/01/03"
"2314","KT840532","2014/12/12"
"2315","KT839002","2014/11/14"
"2316","KT838507","2014/11/03"
"2317","KT837838","2014/10/09"
"2318","CY193958","2015/01/23"
"2319","KT837611","2014/10/21"
"2320","KT837997","2014/10/21"
"2321","CY193524","2014/12/14"
"2322","KT840183","2014/12/01"
"2323","KY089429","2015/01/27"
"2324","CY193982","2014/12/17"
"2325","CY193926","2015/01/27"
"2326","KT835952","2015/01/30"
"2327","CY193640","2015/01/09"
"2328","CY193535","2014/12/11"
"2329","CY193537","2014/12/17"
"2330","KT837083","2014/09/25"
"2331","CY193678","2015/01/04"
"2332","KU558942","2015/02/11"
"2333","KU558940","2015/02/03"
"2334","CY193646","2015/01/11"
"2335","KY089748","2014/11/10"
"2336","KU558945","2015/03/05"
"2337","KP877366","2015/02/12"
"2338","KT839124","2014/11/08"
"2339","KT220438","2015/01/17"
"2340","KT220437","2015/01/15"
"2341","KT841134","2015/01/06"
"2342","CY193930","2015/01/20"
"2343","KT205945","2014/10/29"
"2344","KT205944","2014/09/13"
"2345","KT841226","2015/01/08"
"2346","CY193595","2015/01/05"
"2347","CY193670","2015/01/07"
"2348","CY193672","2015/01/12"
"2349","CY193361","2014/12/01"
"2350","KT837132","2014/09/03"
"2351","KT837754","2014/10/04"
"2352","KT840287","2014/12/22"
"2353","CY193492","2014/12/19"
"2354","KT841087","2014/12/16"
"2355","KT836998","2014/09/17"
"2356","KT840688","2014/12/12"
"2357","KT839225","2014/11/22"
"2358","KT205954","2014/12/04"
"2359","KY328779","2015/04/25"
"2360","KT841640","2015/01/07"
"2361","KT841441","2015/01/07"
"2362","KT836178","2015/01/20"
"2363","KU729336","2015/01/12"
"2364","KP701664","2014/12/12"
"2365","KU729487","2014/11/20"
"2366","KP701658","2014/12/10"
"2367","KU729486","2015/02/16"
"2368","KU729484","2015/01/23"
"2369","KU729485","2015/01/20"
"2370","KP701651","2014/11/11"
"2371","KT840874","2014/12/11"
"2372","KP701638","2014/12/17"
"2373","KY615552","2014/12/27"
"2374","CY207731","2015/02/11"
"2375","KT841327","2015/01/06"
"2376","CY193604","2014/12/22"
"2377","KT839040","2014/11/21"
"2378","KT836988","2014/09/18"
"2379","CY193419","2014/12/03"
"2380","CY193808","2015/01/12"
"2381","KT840725","2014/12/17"
"2382","KT840109","2014/12/03"
"2383","CY193395","2014/12/08"
"2384","CY193541","2014/12/18"
"2385","KY089292","2015/01/06"
"2386","KT841897","2015/01/08"
"2387","KT839714","2014/12/02"
"2388","CY193945","2015/01/21"
"2389","CY193686","2014/12/15"
"2390","KT837566","2014/10/27"
"2391","KT841905","2015/01/04"
"2392","KT842513","2015/02/19"
"2393","CY193336","2014/12/02"
"2394","KT841198","2015/01/05"
"2395","CY193526","2014/12/18"
"2396","KU729325","2015/01/12"
"2397","KT841242","2015/01/02"
"2398","KT842186","2015/02/20"
"2399","CY193981","2014/12/15"
"2400","KT842133","2015/02/06"
"2401","KT840213","2014/12/08"
"2402","CY193839","2015/01/17"
"2403","CY193976","2014/12/28"
"2404","CY193920","2014/12/16"
"2405","CY193817","2015/01/29"
"2406","KP877361","2015/02/23"
"2407","KY089848","2014/10/05"
"2408","KT842149","2015/02/17"
"2409","KY090362","2014/11/18"
"2410","CY193572","2014/12/05"
"2411","CY193479","2014/12/16"
"2412","CY193528","2014/12/24"
"2413","KY116991","2014/12/29"
"2414","CY193281","2014/11/03"
"2415","KT205853","2015/02/03"
"2416","CY193886","2015/01/26"
"2417","CY193416","2014/12/08"
"2418","CY193446","2014/12/08"
"2419","KT838466","2014/11/03"
"2420","KT840120","2014/12/02"
"2421","KY090278","2014/10/03"
"2422","CY193282","2014/11/04"
"2423","KY089131","2014/10/30"
"2424","KT837201","2014/09/07"
"2425","KT840177","2014/12/02"
"2426","CY193927","2015/01/27"
"2427","CY193346","2014/12/02"
"2428","CY193950","2014/12/23"
"2429","CY193949","2014/12/15"
"2430","KT835995","2015/01/31"
"2431","CY193525","2014/12/12"
"2432","CY193943","2015/01/28"
"2433","CY193656","2014/12/12"
"2434","CY193365","2014/12/01"
"2435","KT841878","2015/01/03"
"2436","KT836319","2015/01/24"
"2437","CY193720","2015/01/07"
"2438","KY487159","2015/01/09"
"2439","KT839933","2014/12/09"
"2440","CY193837","2015/01/15"
"2441","KT841101","2015/01/06"
"2442","KT839159","2014/11/12"
"2443","CY222925","2017/02/21"
"2444","CY235848","2017/04/18"
"2445","CY220111","2017/02/02"
"2446","CY227174","2017/02/20"
"2447","CY231012","2017/02/20"
"2448","CY222037","2017/02/06"
"2449","CY228845","2017/03/26"
"2450","CY228749","2017/03/21"
"2451","CY223710","2017/02/07"
"2452","CY216617","2017/01/04"
"2453","CY228613","2017/03/23"
"2454","CY216265","2016/12/13"
"2455","CY213290","2016/12/19"
"2456","CY216729","2017/01/25"
"2457","CY238235","2017/04/13"
"2458","CY216209","2017/01/15"
"2459","CY234610","2017/04/21"
"2460","CY210353","2016/11/09"
"2461","CY223085","2017/02/27"
"2462","CY223774","2017/02/07"
"2463","CY224078","2017/02/19"
"2464","CY234184","2017/02/25"
"2465","CY216529","2017/01/10"
"2466","CY211954","2016/12/04"
"2467","CY227182","2017/02/09"
"2468","CY221942","2017/02/15"
"2469","CY215897","2017/01/17"
"2470","CY223133","2017/02/26"
"2471","CY216241","2016/12/20"
"2472","CY215849","2016/12/26"
"2473","CY218982","2016/12/26"
"2474","CY220631","2017/01/17"
"2475","CY214218","2016/12/06"
"2476","CY214978","2016/12/30"
"2477","CY223910","2017/02/11"
"2478","KY950107","2016/11/28"
"2479","KY949642","2016/11/10"
"2480","KY435817","2016/11/21"
"2481","CY216489","2017/01/17"
"2482","CY214458","2016/12/18"
"2483","CY231057","2017/02/23"
"2484","CY234176","2017/02/07"
"2485","KY583623","2017/01/11"
"2486","CY212530","2016/11/26"
"2487","CY215002","2017/01/04"
"2488","CY212418","2016/12/07"
"2489","CY230998","2017/02/06"
"2490","KY583620","2017/01/10"
"2491","CY216633","2017/01/23"
"2492","KY115934","2016/09/24"
"2493","KY583618","2017/01/03"
"2494","KY288892","2016/11/08"
"2495","CY223205","2017/02/19"
"2496","CY215130","2016/12/23"
"2497","CY212490","2016/12/03"
"2498","CY216737","2017/01/26"
"2499","CY213130","2016/12/19"
"2500","CY222997","2017/02/06"
"2501","CY216385","2017/01/12"
"2502","CY214194","2016/12/20"
"2503","CY223742","2017/02/13"
"2504","KY288900","2016/11/11"
"2505","CY222053","2017/02/09"
"2506","CY218086","2017/01/10"
"2507","CY220431","2017/01/31"
"2508","CY222885","2017/02/16"
"2509","CY226926","2016/12/19"
"2510","CY213994","2016/12/27"
"2511","CY226950","2016/12/19"
"2512","KY116582","2016/10/09"
"2513","CY211890","2016/12/06"
"2514","CY214250","2016/12/28"
"2515","CY214234","2016/12/24"
"2516","CY215697","2016/12/21"
"2517","CY214466","2016/12/18"
"2518","CY210783","2016/11/26"
"2519","KY949649","2016/12/21"
"2520","CY234893","2016/09/23"
"2521","KY435824","2016/11/28"
"2522","CY226815","2017/01/03"
"2523","CY235030","2017/01/10"
"2524","CY226783","2016/12/22"
"2525","CY214538","2017/01/04"
"2526","CY228509","2017/03/13"
"2527","CY212810","2016/12/13"
"2528","CY223862","2017/02/15"
"2529","KY116470","2016/09/30"
"2530","CY238465","2017/02/21"
"2531","CY232348","2017/03/08"
"2532","CY214946","2017/01/02"
"2533","KY583691","2017/01/12"
"2534","CY216313","2017/01/22"
"2535","KY583507","2016/12/12"
"2536","KY435827","2016/12/04"
"2537","MF182514","2017/02/24"
"2538","KY694983","2016/11/04"
"2539","KY289044","2016/10/27"
"2540","CY216337","2017/01/22"
"2541","CY216345","2017/01/22"
"2542","CY223902","2017/02/14"
"2543","KY950159","2016/12/24"
"2544","CY212538","2016/11/05"
"2545","MF182530","2017/01/10"
"2546","KY116526","2016/09/28"
"2547","CY216329","2017/01/23"
"2548","KY115902","2016/09/17"
"2549","CY234899","2016/09/04"
"2550","KY328770","2016/09/29"
"2551","KY435819","2016/11/26"
"2552","KY435821","2016/11/27"
"2553","KY435823","2016/11/26"
"2554","CY220279","2017/01/23"
"2555","CY219025","2016/12/22"
"2556","CY234894","2016/11/16"
"2557","KY075836","2015/03/07"
"2558","CY193754","2015/01/20"
"2559","CY193514","2014/12/18"
"2560","KT840277","2014/12/08"
"2561","KT839420","2014/12/03"
"2562","CY193520","2014/12/22"
"2563","KY090509","2015/01/16"
"2564","KY487580","2015/01/10"
"2565","KT838934","2014/11/20"
"2566","CY193403","2014/12/04"
"2567","KY487272","2014/12/21"
"2568","KP335970","2014/09/09"
"2569","KT841418","2015/01/08"
"2570","CY193745","2014/12/22"
"2571","CY193497","2014/12/22"
"2572","CY193888","2015/01/26"
"2573","CY193828","2015/01/07"
"2574","CY193555","2014/12/14"
"2575","KY090061","2015/01/06"
"2576","KY090387","2015/01/16"
"2577","KT835887","2015/01/31"
"2578","CY193567","2014/12/29"
"2579","CY193904","2015/01/14"
"2580","KT840883","2014/12/29"
"2581","KT836350","2015/01/27"
"2582","CY193569","2014/12/24"
"2583","CY193322","2014/12/02"
"2584","KT839770","2014/12/01"
"2585","KT841859","2015/01/05"
"2586","KT836982","2014/09/17"
"2587","KY089453","2014/12/18"
"2588","KY089768","2014/11/24"
"2589","KT836011","2015/01/29"
"2590","KT840352","2014/12/19"
"2591","CY193596","2014/12/12"
"2592","CY193262","2014/11/04"
"2593","KY090140","2015/01/16"
"2594","KT838783","2014/11/21"
"2595","KT838793","2014/11/18"
"2596","MF113168","2015/01/06"
"2597","KY089675","2015/01/28"
"2598","KT838424","2014/11/27"
"2599","CY193441","2014/12/09"
"2600","KT838396","2014/11/10"
"2601","KY090409","2014/11/03"
"2602","KT205933","2014/12/04"
"2603","KT840487","2014/12/22"
"2604","KT837434","2014/10/25"
"2605","KT838670","2014/11/05"
"2606","KR534286","2015/01/13"
"2607","CY207507","2014/12/27"
"2608","CY207443","2015/01/04"
"2609","CY207883","2014/12/08"
"2610","CY193626","2014/12/24"
"2611","CY207875","2014/11/10"
"2612","CY207483","2014/12/24"
"2613","CY193799","2015/01/14"
"2614","CY193703","2015/01/06"
"2615","KT374338","2015/01/28"
"2616","KT841705","2015/01/05"
"2617","CY207347","2014/12/10"
"2618","CY207435","2015/01/04"
"2619","CY207571","2014/12/13"
"2620","CY207763","2015/01/27"
"2621","CY207587","2014/12/26"
"2622","CY207859","2014/12/18"
"2623","CY193818","2015/01/13"
"2624","KY615379","2015/01/03"
"2625","KY487157","2014/12/19"
"2626","KT841988","2015/01/05"
"2627","KT839216","2014/11/13"
"2628","KT837674","2014/10/23"
"2629","CY193398","2014/12/15"
"2630","KT842300","2015/02/03"
"2631","KT838287","2014/10/06"
"2632","KT839927","2014/12/09"
"2633","KT842339","2015/02/23"
"2634","KY089301","2014/11/18"
"2635","CY207419","2015/01/07"
"2636","KT836039","2015/01/20"
"2637","KP335978","2014/11/13"
"2638","KX413729","2015/11/15"
"2639","KT837666","2014/10/29"
"2640","CY193698","2015/01/07"
"2641","CY193696","2015/01/08"
"2642","KP877371","2015/02/20"
"2643","KU558943","2015/02/18"
"2644","KY487691","2015/01/03"
"2645","KT835997","2015/01/25"
"2646","KY487654","2014/12/27"
"2647","KY487182","2014/12/27"
"2648","KY089313","2015/03/22"
"2649","KT842239","2015/02/17"
"2650","KT839989","2014/12/04"
"2651","KY089261","2015/01/26"
"2652","KT839755","2014/12/08"
"2653","CY193816","2015/01/16"
"2654","KY090091","2015/01/02"
"2655","KT842159","2015/02/05"
"2656","KT843079","2015/03/04"
"2657","KT839596","2014/12/10"
"2658","KT836271","2015/01/21"
"2659","KT838731","2014/11/11"
"2660","KT838557","2014/11/05"
"2661","KT838576","2014/11/10"
"2662","KT835801","2015/01/21"
"2663","KT841779","2015/01/08"
"2664","KT838706","2014/11/07"
"2665","KT843006","2015/03/07"
"2666","CY193978","2015/01/09"
"2667","CY207411","2014/12/28"
"2668","KT840394","2014/12/27"
"2669","KT838664","2014/11/14"
"2670","CY193910","2015/01/20"
"2671","KT841405","2015/01/06"
"2672","KT841417","2015/01/06"
"2673","CY193979","2015/01/22"
"2674","KT841437","2015/01/04"
"2675","KT205930","2015/02/12"
"2676","CY193388","2014/12/19"
"2677","KT839429","2014/12/05"
"2678","KT843055","2015/03/03"
"2679","KY089836","2014/11/16"
"2680","KT842621","2015/02/15"
"2681","KT843424","2015/04/28"
"2682","CY193455","2014/12/15"
"2683","KT841305","2015/01/01"
"2684","KT842694","2015/02/17"
"2685","CY193490","2014/12/18"
"2686","CY193769","2015/02/02"
"2687","CY193493","2014/12/19"
"2688","CY193970","2015/01/12"
"2689","KT838984","2014/11/20"
"2690","CY193523","2015/01/06"
"2691","CY193482","2014/12/18"
"2692","KT839652","2014/12/04"
"2693","CY193923","2015/01/22"
"2694","CY193553","2014/12/24"
"2695","CY193389","2014/12/22"
"2696","KT840140","2014/12/08"
"2697","KT835935","2015/01/29"
"2698","CY193551","2014/12/23"
"2699","KT839906","2014/12/08"
"2700","KT374341","2015/03/02"
"2701","KY089101","2014/12/23"
"2702","CY193937","2015/01/26"
"2703","CY193373","2014/12/09"
"2704","KT839666","2014/12/02"
"2705","CY193946","2015/01/22"
"2706","KT839084","2014/11/14"
"2707","CY193688","2014/12/17"
"2708","KT839972","2014/12/08"
"2709","KT839946","2014/12/08"
"2710","KT837234","2014/09/09"
"2711","KT842500","2015/02/14"
"2712","CY193673","2015/01/08"
"2713","CY193259","2014/10/21"
"2714","KT839000","2014/11/20"
"2715","KT839200","2014/11/13"
"2716","KT839108","2014/11/29"
"2717","KY487176","2014/12/14"
"2718","KT843119","2015/03/08"
"2719","KY487069","2014/12/21"
"2720","KT842025","2015/02/02"
"2721","CY193425","2014/12/08"
"2722","KT835821","2015/01/28"
"2723","KT837933","2014/10/15"
"2724","CY193488","2014/12/15"
"2725","CY193704","2015/01/06"
"2726","KT838853","2014/11/20"
"2727","KT840987","2014/12/17"
"2728","CY193343","2014/12/02"
"2729","KT840205","2014/12/03"
"2730","KT842740","2015/02/01"
"2731","KY090401","2015/01/26"
"2732","KT842822","2015/03/08"
"2733","KT836106","2015/01/30"
"2734","CY193706","2015/01/09"
"2735","CY193271","2014/10/28"
"2736","CY193724","2015/01/08"
"2737","CY193438","2014/12/10"
"2738","CY193489","2014/12/18"
"2739","KT838500","2014/11/25"
"2740","KT842506","2015/02/11"
"2741","CY193341","2014/12/02"
"2742","CY193330","2014/12/02"
"2743","KT842581","2015/02/04"
"2744","CY207467","2014/12/30"
"2745","CY207595","2015/01/19"
"2746","KT837713","2014/10/21"
"2747","CY193835","2015/01/19"
"2748","KT837668","2014/10/29"
"2749","KY487322","2014/12/21"
"2750","KY615405","2014/12/26"
"2751","CY193744","2014/12/29"
"2752","CY193919","2015/01/22"
"2753","KT840735","2014/12/11"
"2754","KR534301","2015/01/27"
"2755","KR534300","2015/01/28"
"2756","CY193758","2015/01/16"
"2757","KX916356","2016/08/03"
"2758","KY115918","2016/09/19"
"2759","KY289473","2016/10/20"
"2760","CY210815","2016/11/19"
"2761","CY209168","2016/10/21"
"2762","CY208752","2016/09/09"
"2763","KX916924","2016/08/08"
"2764","KY697318","2016/09/06"
"2765","CY216257","2016/12/11"
"2766","CY213850","2016/10/25"
"2767","KY003413","2016/09/14"
"2768","KY115870","2016/09/14"
"2769","CY212498","2016/12/09"
"2770","CY214210","2016/12/07"
"2771","KY289583","2016/10/02"
"2772","CY210171","2016/10/25"
"2773","CY234883","2016/09/09"
"2774","KY044202","2016/09/05"
"2775","KX916396","2016/08/28"
"2776","KY003548","2016/08/31"
"2777","KY003566","2016/09/06"
"2778","KY116510","2016/10/07"
"2779","CY210393","2016/10/31"
"2780","CY214474","2016/12/12"
"2781","KY116486","2016/09/27"
"2782","KY116342","2016/10/02"
"2783","CY211810","2016/11/22"
"2784","KY697310","2016/09/06"
"2785","KY003379","2016/09/08"
"2786","KY003578","2016/08/31"
"2787","CY210237","2016/10/23"
"2788","CY234897","2016/09/18"
"2789","KX916780","2016/06/15"
"2790","KY115966","2016/07/29"
"2791","KX416080","2016/03/18"
"2792","KX916788","2016/06/06"
"2793","KX918292","2016/04/01"
"2794","KX918028","2016/04/20"
"2795","KX416624","2016/03/30"
"2796","KX916756","2016/05/13"
"2797","KX416136","2016/03/18"
"2798","KX917700","2016/03/31"
"2799","KX917852","2016/04/11"
"2800","KY044463","2016/03/31"
"2801","KX416920","2016/03/18"
"2802","CY208337","2016/02/25"
"2803","KX916492","2016/06/07"
"2804","KX916268","2016/03/20"
"2805","KX917140","2016/02/22"
"2806","KX414113","2016/01/17"
"2807","CY209847","2016/03/22"
"2808","CY208259","2016/01/28"
"2809","KX416344","2016/02/23"
"2810","KX414497","2016/01/20"
"2811","CY208286","2016/02/12"
"2812","CY209795","2016/02/24"
"2813","CY208346","2016/03/07"
"2814","CY208231","2016/02/12"
"2815","CY208420","2016/02/29"
"2816","KX415448","2016/02/26"
"2817","KX416864","2016/04/05"
"2818","KX416072","2016/03/14"
"2819","KX414297","2016/01/12"
"2820","KX916740","2016/03/20"
"2821","CY208339","2016/02/29"
"2822","KX416848","2016/04/07"
"2823","KX917796","2016/04/23"
"2824","KX414185","2016/01/13"
"2825","KX414753","2016/01/28"
"2826","KX414936","2016/02/11"
"2827","KX415352","2016/03/01"
"2828","KY583590","2016/12/20"
"2829","KY003550","2016/08/14"
"2830","KX413881","2015/12/29"
"2831","KX413889","2015/12/29"
"2832","KX414345","2016/01/16"
"2833","KX416560","2016/03/28"
"2834","KX415208","2016/01/12"
"2835","KX416000","2016/03/07"
"2836","KX412718","2015/12/30"
"2837","KX414545","2016/01/31"
"2838","KY044330","2016/01/26"
"2839","KX414321","2016/01/26"
"2840","KX415104","2016/02/16"
"2841","KX415048","2016/02/18"
"2842","KY044126","2016/01/03"
"2843","KX414577","2016/01/19"
"2844","KX916084","2015/12/02"
"2845","KX416024","2016/03/07"
"2846","KX416032","2016/03/13"
"2847","KX414529","2016/01/20"
"2848","KX414649","2016/01/22"
"2849","KX412662","2016/01/27"
"2850","KX412838","2016/01/20"
"2851","KX415952","2016/02/25"
"2852","KX416816","2016/03/05"
"2853","KX416088","2016/03/10"
"2854","KX917308","2016/03/21"
"2855","KX416400","2016/03/21"
"2856","CY210314","2016/10/30"
"2857","KY078605","2016/01/02"
"2858","KX413094","2016/01/08"
"2859","KX416240","2016/03/15"
"2860","KX414745","2016/01/27"
"2861","KX413985","2015/12/30"
"2862","CY209768","2016/03/01"
"2863","KY078620","2016/02/09"
"2864","KY078600","2016/03/23"
"2865","KY078619","2015/12/23"
"2866","KY078624","2016/02/29"
"2867","KX416008","2016/03/10"
"2868","KX414681","2016/02/02"
"2869","KX415776","2016/02/23"
"2870","KX415344","2016/02/20"
"2871","KX414217","2016/01/12"
"2872","KX413721","2015/12/28"
"2873","KX414449","2016/01/30"
"2874","KX416808","2016/03/02"
"2875","CY208165","2016/01/25"
"2876","KX415768","2016/02/26"
"2877","KX003487","2015/11/14"
"2878","KX415216","2016/01/15"
"2879","KX415136","2016/02/01"
"2880","KX415224","2016/01/21"
"2881","KX416352","2016/03/24"
"2882","KY044323","2016/01/20"
"2883","KY078598","2015/12/29"
"2884","KY078596","2015/12/29"
"2885","KY078595","2015/12/21"
"2886","KX416664","2016/02/01"
"2887","KX413054","2015/12/29"
"2888","KY078597","2015/12/29"
"2889","KX416672","2016/01/30"
"2890","KX416656","2016/02/10"
"2891","KU591630","2015/11/02"
"2892","KX412421","2015/11/02"
"2893","KU591543","2015/10/23"
"2894","CY208355","2016/02/24"
"2895","KX413323","2015/11/01"
"2896","KU589661","2015/11/01"
"2897","KX412012","2015/10/20"
"2898","KU591759","2015/10/20"
"2899","KU591767","2015/10/24"
"2900","KT844383","2015/05/18"
"2901","KX415056","2016/02/18"
"2902","KX415576","2016/02/28"
"2903","KX413513","2015/11/28"
"2904","KX414473","2016/01/26"
"2905","KX413505","2015/11/18"
"2906","KX415672","2016/03/06"
"2907","KY925215","2015/07/30"
"2908","KU591415","2015/09/01"
"2909","KU590465","2015/09/01"
"2910","KU590473","2015/09/01"
"2911","KU589809","2015/08/31"
"2912","KU590031","2015/09/01"
"2913","KU590441","2015/08/31"
"2914","KU589817","2015/09/01"
"2915","KT843857","2015/08/09"
"2916","KU589675","2015/06/16"
"2917","KT842117","2015/02/05"
"2918","KT836135","2015/01/22"
"2919","KY090424","2015/07/19"
"2920","CY193826","2015/01/16"
"2921","KY089383","2015/03/02"
"2922","KT842363","2015/02/03"
