"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","successful_clade"
"name","Clade","number of tips","number of tips after removing the future tips","sackin","colless","Variance","I2","B1","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","tips_pairwise_distance","tips_pairwise_distance_max","diameter","WienerIndex","betweenness","closeness","eigenvector","successful_clade"
"","11071","22","22","0.436555317747269","0.843070885383447","2102.13271601196","10.9150075414781","10.9956349206349","0.15","0.4","0.409090909090909","0.476190476190476","10","4","0.619047619047619","0.592099295858694","7","0.0719618348565188","-1.28507567840553","2.17040515805519","1.62222903376046","4.65839049677742","25.6487603305785","159","13","5696","563","0.00595238095238095","0.400183873577808","0"
"","11095","25","25","0.928083644492987","1.41705569569174","1613.50289145573","12.5508263412154","12.3532106782107","0.173913043478261","0.391304347826087","0.48","0.5","8","4","0.625","0.586744811560988","8","0.0422570014848231","-0.73814433580003","4.20626367301653","1.62112234858266","4.18227689912832","22.4288","143","15","7952","719","0.00478468899521531","0.350824820422347","0"
"","11136","28","28","1.93137220778155","2.1408698675276","2742.85164675247","15.5763656633222","12.7123015873016","0.115384615384615","0.538461538461538","0.642857142857143","0.407407407407407","12","2","0.666666666666667","0.567343568639865","7","0.112886772819421","-0.429229835999503","5.36851364417404","1.73968608692232","4.77782362206175","29.156887755102","174","15","10260","843","0.00420168067226891","0.352051931371472","0"
"","11186","24","24","2.03141697782632","2.35454435687867","2245.83285969626","9.2","12.7623015873016","0.113636363636364","0.272727272727273","0.25","0.478260869565217","8","4","0.521739130434783","0.656786445782273","9","0.0782651227110428","-0.777550199959696","3.14541202912327","1.30287364301474","3.31580105167283","26.0225694444444","183","13","6676","671","0.00568181818181818","0.385857480528197","0"
"","11227","28","28","0.93137220778155","0.640869867527598","687.630192502462","6.42095238095238","17.0095238095238","0","0.153846153846154","0.214285714285714","0.296296296296296","16","8","0.37037037037037","0.794207797629698","12","0.108987783495401","-2.20739104751857","2.85098792693165","2.3330367663054","6.67033463977856","13.3252551020408","132","10","9124","923","0.00497512437810945","0.347189578168362","0"
"","11280","23","22","0.527464408656359","0.843070885383447","3073.78130571593","12.6360902255639","10.0845238095238","0.15","0.5","0.409090909090909","0.428571428571429","10","4","0.714285714285714","0.546362433862434","6","0.0575068900145559","-0.826431859835596","2.73062326304325","1.37068947066969","3.59785982819573","30.6446280991736","200","13","5564","581","0.00625","0.387063130737978","1"
"","11338","29","29","3.31807171517071","3.88656672505623","2963.61016310179","17.5055555555556","12.386544011544","0.0814814814814815","0.555555555555556","0.517241379310345","0.464285714285714","8","4","0.714285714285714","0.502639688353974","7","0.0680265512919748","-1.02091907799145","4.73229328393328","0.761918394503099","2.07158686038069","28.0404280618312","265","14","11800","1041","0.00387596899224806","0.335703449511723","0"
"","11387","23","20","4.20452068571264","5.42019924700595","6000.93383688934","15.6461538461538","5.38072899322899","0.361111111111111","0.777777777777778","0.15","0.894736842105263","4","2","0.842105263157895","0.292753951143637","3","0.0710225065884472","1.89601222000207","5.98650044989017","2.62736498212371","8.97130606201678","42.435","228","18","5176","409","0.00540540540540541","0.354123295567717","1"
"","11410","26","8","-0.185714285714285","-0.213510021119891","9894.75361449643","2.33333333333333","4.33333333333333","0","0.333333333333333","0.375","0.571428571428571","4","2","0.428571428571429","0.764285714285714","3","0.0304376216613139","1.23600804284797","0.645924564516908","1.32738544780496","3.15671812702192","51.3125","252","7","380","57","0.0285714285714286","0.486624494733865","1"
"","11457","21","13","0.101270951270951","0.397136009252255","3667.7601749065","6.62121212121212","6.28333333333333","0.181818181818182","0.454545454545455","0.461538461538462","0.583333333333333","6","2","0.666666666666667","0.58912037037037","4","0.0356088588098213","0.673561416758111","1.28555768438923","1.02451164374138","2.61559659767691","32.3905325443787","214","11","1468","173","0.0128205128205128","0.430566811577997","1"
"","11503","29","29","0.283588956550022","0.576221897470023","2003.30389822867","15.8745791245791","14.0845238095238","0.0833333333333333","0.481481481481481","0.620689655172414","0.321428571428571","12","4","0.678571428571429","0.581136621315193","8","0.0850136270829576","-1.08213517946833","4.35585472649843","0.901556162285201","2.28441712378255","21.281807372176","220","15","11336","973","0.0040650406504065","0.361317719356864","0"
"","11549","21","9","0.230952380952381","0.585373609890392","8787.7559750525","4.21428571428571","4.28333333333333","0.285714285714286","0.428571428571429","0.333333333333333","0.75","4","2","0.625","0.598214285714286","3","0.0235906343434202","1.50754650312961","0.983804597439845","1.30356657453114","3.10500195721528","45.9753086419753","261","8","518","81","0.025","0.46768386893536","1"
"","11617","23","23","1.48793871695675","1.89348078289167","3054.99342877381","9.63423264042459","12.6623015873016","0","0.238095238095238","0.521739130434783","0.454545454545455","8","4","0.545454545454545","0.647533076228897","9","0.0583177776449147","-1.14786921288453","2.59422475862471","1.3663913896742","3.58031695073923","29.882797731569","183","12","5896","621","0.00613496932515337","0.378558652009314","0"
"","11651","22","22","0.800191681383632","1.2976163399289","2324.06707480853","14.1323232323232","9.44563492063492","0.15","0.6","0.545454545454545","0.476190476190476","8","2","0.761904761904762","0.49880661666376","5","0.0548007050677736","-0.558370644003298","2.74530965275187","1.44962654568083","5.00782742754536","26.297520661157","184","15","5904","551","0.00564971751412429","0.364152952290962","0"
"","11672","21","21","0.947377828569779","1.07140908283652","2759.1535186519","8.76934046345811","10.7595238095238","0.105263157894737","0.368421052631579","0.285714285714286","0.4","10","4","0.6","0.640232311548101","7","0.0507772026571929","-0.311528867927249","2.86044860012341","1.38725791174794","3.99933734818634","29.18820861678","186","11","4750","527","0.00699300699300699","0.383804491144078","0"
"","11697","25","25","1.20808364449299","1.53705569569174","2074.91847508223","12.8829725829726","11.5218253968254","0.0869565217391304","0.391304347826087","0.24","0.458333333333333","8","4","0.666666666666667","0.546466727716728","8","0.0891795205865929","-0.670848736856862","3.63361782857043","2.46100761044833","9.03989375061322","24.3872","163","18","8750","629","0.00403225806451613","0.307261268270102","0"
"","11721","22","22","0.572918954110905","0.888525430837992","1461.3664277987","12.2055555555556","10.8428571428571","0.116666666666667","0.5","0.681818181818182","0.380952380952381","8","2","0.666666666666667","0.586734693877551","6","0.0584894330500825","-1.30195897078782","1.58792301200922","0.544795033919874","1.765621622132","21.1342975206612","134","12","5458","549","0.00628930817610063","0.383235759247274","0"
"","11807","30","30","2.71002573815922","3.48140080556446","2122.96521629982","15.8218253968254","14.5848956598957","0.0833333333333333","0.357142857142857","0.4","0.517241379310345","8","4","0.620689655172414","0.55238054794395","10","0.0832645359411249","-0.78498599828105","4.85742206290299","1.79408339497686","4.94668179047484","25.8088888888889","141","18","13230","937","0.00334448160535117","0.345448178980198","0"
"","11851","30","28","0.93137220778155","1.35515558181331","4148.17174292323","14.2054298642534","13.4956349206349","0.102564102564103","0.384615384615385","0.214285714285714","0.407407407407407","8","2","0.62962962962963","0.565751584284436","9","0.0739081870644119","-0.469214146433693","4.74028815152312","1.68805973678692","4.53826131381615","34.655612244898","242","16","10900","951","0.00401606425702811","0.366352955989911","1"
"","11889","23","19","0.483468054133689","0.697808330867189","5275.03637317053","11.3193277310924","7.87619047619048","0.196078431372549","0.647058823529412","0.315789473684211","0.444444444444444","8","2","0.722222222222222","0.52303190636524","4","0.036328670087291","1.10889487825824","4.85260731613335","2.11226430338073","5.79385809583427","39.2963988919668","264","15","4492","383","0.00588235294117647","0.415195783061594","1"
"","11927","25","11","0.232972582972583","0.445308975034302","5975.94758192224","5.55555555555556","5.28333333333333","0.222222222222222","0.555555555555556","0.818181818181818","0.6","4","2","0.6","0.618452380952381","3","0.0192870325578053","1.80283690051534","-0.327459390602603","1.22794778144315","2.73820739622341","40.1157024793388","257","9","926","125","0.0169491525423729","0.462448704691267","1"
"","11951","22","19","1.48346805413369","2.0135978045514","6042.30792226758","10.7467948717949","8.26230158730159","0.205882352941176","0.529411764705882","0.315789473684211","0.611111111111111","8","4","0.666666666666667","0.525867805034472","5","0.0426726480432781","-0.0175828388482066","2.47411791704378","2.87643096646393","10.7186815720753","41.9722991689751","270","12","3818","411","0.00769230769230769","0.394618975500051","1"
"","11972","30","16","-0.323957986457986","-0.469157201679836","4161.03149501716","7.33333333333333","8.06666666666667","0.214285714285714","0.428571428571429","0.5625","0.4","8","4","0.6","0.658888888888889","5","0.0292932770350114","0.235011882245393","2.06513458010976","0.992070751845537","2.808654011827","27.16796875","266","12","2554","269","0.00892857142857143","0.337941367070357","1"
"","12017","22","20","0.704520685712636","1.02019924700595","3190.30850959483","10.5615079365079","9.16785714285714","0.111111111111111","0.444444444444444","0.3","0.473684210526316","6","2","0.684210526315789","0.551796157059315","6","0.0299968820340907","0.377294850621981","4.18584481664289","1.87412051268615","5.96652901127324","26.2","264","15","4788","421","0.00598802395209581","0.3256666785985","1"
"","12040","25","25","0.368083644492987","0.377055695691745","789.920052168589","9.53244206773619","13.7178571428571","0.0869565217391304","0.304347826086957","0.48","0.375","10","4","0.541666666666667","0.697720864661654","9","0.0794002633105833","-1.42342556362078","3.073255716191","1.47320957200023","4.84932895389624","14.752","128","12","7116","741","0.00564971751412429","0.365762532173218","0"
"","12095","30","30","0.176692404825885","0.481400805564456","2440.5431001456","12.4197436550378","16.4289682539683","0.107142857142857","0.285714285714286","0.5","0.379310344827586","12","4","0.551724137931034","0.659762323782287","11","0.0933192330737173","-1.96738495565487","3.24755053567398","1.72276382996241","5.54444327345285","23.9688888888889","253","15","12270","1035","0.00381679389312977","0.369581693790951","0"
"","12127","29","28","0.0742293506386927","0.140869867527598","2266.73194546193","11.2525641025641","15.5011904761905","0.0769230769230769","0.230769230769231","0.321428571428571","0.333333333333333","10","4","0.518518518518518","0.663271604938272","11","0.0923821606682399","-1.22401956300875","3.94393048423293","2.63451799452807","10.293914300979","22.4553571428571","241","15","10332","897","0.00418410041841004","0.314557270313499","1"
"","12175","23","11","-0.403391053391054","-0.73650920678388","7956.29749282491","3.11111111111111","6.16666666666667","0","0.333333333333333","0.545454545454545","0.4","8","2","0.4","0.808333333333333","4","0.0182533262387733","0.41903912251667","0.886716215183573","0.272616293724782","1.13965258000199","46.4132231404959","268","8","912","125","0.0169491525423729","0.408749120343571","1"
"","12218","29","26","0.483468259877602","0.819373444076924","2361.68802618881","11.8293650793651","13.7623015873016","0.125","0.333333333333333","0.576923076923077","0.44","8","4","0.56","0.640623376623377","9","0.0682460393936007","-2.3501240193783","1.88016719565341","0.770267596413525","2.42002859270819","24.6908284023669","239","14","8606","693","0.00448430493273543","0.315100228291907","1"
"","12255","29","28","-0.497199220789879","-0.501987275329545","2294.18481856593","11.0320405085111","16.0333333333333","0.0769230769230769","0.307692307692308","0.535714285714286","0.259259259259259","12","4","0.555555555555556","0.700941326379923","10","0.0768426279240564","-1.17766029718345","4.49040176288357","1.75979468611714","5.72885580869426","23.4311224489796","257","12","9812","875","0.00446428571428571","0.3573947723253","1"
"","12296","30","30","3.74335907149255","4.51473413889779","1868.50841776598","15.7198598502946","14.0848956598957","0.125","0.428571428571429","0.4","0.517241379310345","8","2","0.620689655172414","0.539334468340452","9","0.114142281543841","-0.450086138896769","5.93532812391079","2.52587179332273","8.72307127316194","22.0011111111111","195","16","13448","985","0.00314465408805031","0.322627660639036","0"
"","12334","30","30","1.31002573815922","1.74806747223112","2480.38512186414","20.0322510822511","11.4044011544012","0.142857142857143","0.642857142857143","0.4","0.448275862068966","8","4","0.758620689655172","0.45452922668947","6","0.0784944554133178","0.361029400671847","6.63090438767823","1.93566683312004","6.42150349499632","26.5122222222222","219","22","15706","951","0.00268096514745308","0.289715037835664","0"
"","12405","29","29","-0.0267558710361849","0.127946035401057","1612.82902546061","10.1366988131694","16.4678571428571","0.0925925925925926","0.259259259259259","0.206896551724138","0.321428571428571","12","4","0.464285714285714","0.708992652084757","11","0.122909316185353","-1.65958884529121","3.18619160793271","1.27226007175798","3.19038119684016","22.2354340071344","145","13","10606","931","0.00432900432900433","0.365742813044032","0"
"","12524","30","30","0.110025738159218","0.348067472231123","2148.80699943276","12.8308712958868","16.1440476190476","0.178571428571429","0.285714285714286","0.4","0.310344827586207","12","4","0.586206896551724","0.645391594189235","11","0.0929492330622454","-1.74974843010356","3.79396783277389","1.98653545380009","6.96279866243039","25.5077777777778","204","17","12402","1029","0.00374531835205993","0.367109090414899","0"
"","12568","20","20","0.0545206857126359","-0.0298007529940456","2062.89178746339","7.96078431372549","10.8666666666667","0.111111111111111","0.333333333333333","0.6","0.368421052631579","12","4","0.631578947368421","0.692995647012267","7","0.0691300520214581","-1.10972582038978","1.76085689514701","1.4702979873275","4.2865154253115","24.6225","201","11","4078","469","0.00769230769230769","0.386413217703595","0"
"","12639","21","21","0.709282590474541","1.30950432093176","1809.65380398806","11.4500613421666","10.2623015873016","0.157894736842105","0.368421052631579","0.428571428571429","0.55","6","2","0.65","0.551123680241327","7","0.0635374076537988","-0.0563914678896278","3.42227167531065","0.754206774543683","1.83433457818038","22.59410430839","153","15","5092","479","0.0062111801242236","0.383120711538058","0"
"","12675","28","28","0.609943636352978","0.819441296099027","1835.58799236284","13.3800366300366","14.8011904761905","0.0769230769230769","0.384615384615385","0.642857142857143","0.333333333333333","8","2","0.62962962962963","0.641990416990417","9","0.0925422174586063","NaN","2.63297179090768","1.17405618371829","3.01122857616982","23.2895408163265","155","12","9670","915","0.00454545454545455","0.347799905456506","0"
"","12742","24","23","0.444460456087189","0.676089478543839","1017.32762494209","12.4388278388278","10.1956349206349","0.214285714285714","0.523809523809524","0.260869565217391","0.454545454545455","8","2","0.681818181818182","0.552516233766234","6","0.0462965584424956","-0.533901825512576","3.25483366208351","1.23370393206771","3.30151131419439","16.4045368620038","146","15","7016","643","0.00505050505050505","0.360122658923618","1"
"","12797","27","25","1.68808364449299","2.17705569569174","979.091070971057","15.3333333333333","10.386544011544","0.104347826086957","0.565217391304348","0.36","0.5","8","2","0.75","0.490138313779618","6","0.0464225680885934","-0.049561247000085","4.77100809235809","1.54382099293386","3.92041056188964","16.2816","88","16","8246","725","0.00458715596330275","0.340686567227043","1"
"","12916","21","21","-0.243098361906411","-0.214305202877763","1014.78973633148","12.2721804511278","9.45952380952381","0.175438596491228","0.578947368421053","0.571428571428571","0.4","8","4","0.75","0.568333333333333","5","0.0640828844831026","-1.38613933212599","1.66841063027353","1.5034326625723","4.64754520923705","16.312925170068","154","14","5300","513","0.00598802395209581","0.374544430430384","0"
"","12936","20","20","0.854520685712636","1.37019924700595","1388.05294575481","10.9583333333333","9.66230158730159","0.138888888888889","0.444444444444444","0.6","0.526315789473684","8","2","0.631578947368421","0.561033264980633","6","0.059721420149034","-0.376115013665559","2.97335085589495","1.3731673693407","3.58236635507216","20.3375","141","13","4534","417","0.00645161290322581","0.376565855605575","0"
"","12988","29","29","0.283588956550022","0.300359828504506","1629.98322030042","11.0166463166463","15.9456349206349","0.0740740740740741","0.259259259259259","0.413793103448276","0.357142857142857","12","6","0.571428571428571","0.684514260249554","11","0.0724045788793433","-2.0541748996842","2.74751052278709","1.56085562241282","4.83023257423209","22.2663495838288","163","16","11864","899","0.00355871886120996","0.341657966218284","0"
"","13032","28","28","1.25280077921012","1.81944129609903","1359.96180110032","14.100641025641","13.936544011544","0.0897435897435897","0.384615384615385","0.428571428571429","0.444444444444444","8","4","0.62962962962963","0.575104332954575","9","0.0618578851697993","-2.2046719648189","2.85098792693165","1.63893447223197","4.69942697894395","19.8941326530612","148","16","11410","833","0.00352112676056338","0.297954887571634","0"
"","13061","27","27","1.4763457527551","1.96824280270376","2389.4914248389","15.8455342902711","12.6789682539683","0.0933333333333333","0.52","0.666666666666667","0.423076923076923","8","2","0.730769230769231","0.548219408796332","7","0.0653166690183953","-1.56060761503156","3.41483639987676","1.11928397567819","3.02113436525262","26.7626886145405","177","14","9096","837","0.00471698113207547","0.372455149296051","0"
"","13114","24","24","0.15641697782632","0.146211023545333","915.818571488967","10.191341991342","12.4678571428571","0.136363636363636","0.363636363636364","0.375","0.391304347826087","12","4","0.608695652173913","0.65801770693075","8","0.0645576902146109","-1.49988298275029","1.44734327319199","1.28363680637475","3.95035303113545","15.421875","136","13","6926","663","0.00537634408602151","0.353452738865877","0"
"","13254","26","26","1.13731441372376","1.31937344407692","1204.38518720758","11.3336783988958","13.6123015873016","0.0833333333333333","0.333333333333333","0.461538461538462","0.4","10","4","0.6","0.642329343120647","9","0.0862715154746659","-1.01606040716164","4.11308940793586","1.80856450648389","5.0592831346207","19.2041420118343","144","13","8028","813","0.00518134715025907","0.364569672099862","0"
"","13297","28","28","0.252800779210121","0.390869867527598","1465.91751283071","14.98","13.7095238095238","0.115384615384615","0.461538461538462","0.535714285714286","0.296296296296296","12","4","0.703703703703704","0.58894306693871","8","0.148469163055202","-1.16311106518918","4.45713411772481","1.53107612958187","3.81351171070599","21.155612244898","131","14","10018","911","0.00442477876106195","0.345397933288489","0"
"","13341","22","22","-0.0634446822527314","0.161252703565265","835.987774568053","11.6047619047619","10.5428571428571","0.133333333333333","0.5","0.409090909090909","0.380952380952381","8","2","0.666666666666667","0.586791383219955","6","0.0675938564368441","-0.57014940077336","3.34383260490583","1.43061958149336","3.62840322097484","16.0743801652893","102","14","5814","557","0.00588235294117647","0.387503970791042","0"
"","13365","24","24","-0.0519163555070132","-0.145455643121334","876.683012918284","6.73701298701299","13.8761904761905","0.0909090909090909","0.181818181818182","0.125","0.347826086956522","12","6","0.391304347826087","0.743788819875776","10","0.0619548580211066","-1.4777045107582","2.01576523465597","1.27608748861171","3.3466110364024","16.3333333333333","117","14","7176","653","0.005","0.370780928695643","0"
"","13406","24","24","1.82308364449299","2.47954435687867","1317.7999043808","13.2781100478469","11.186544011544","0.106060606060606","0.454545454545455","0.375","0.521739130434783","6","2","0.652173913043478","0.531020308194221","7","0.0420211220045196","-0.412395225926136","2.54174409060123","2.61114405694673","8.37001374646289","19.5972222222222","143","14","7254","647","0.00497512437810945","0.350607530397963","0"
"","13445","29","18","0.17645051027404","0.392226429330447","2859.70411243477","10.8194444444444","7.81666666666667","0.21875","0.625","0.5","0.411764705882353","8","2","0.764705882352941","0.538680926916221","4","0.0900470395729503","0.702618224439126","3.81987270429063","1.75010112621914","4.60077686537","26.4537037037037","246","13","3638","379","0.00746268656716418","0.397480987042539","1"
"","13484","30","30","1.24335907149255","1.74806747223112","839.826191004827","16.4571428571429","13.5710678210678","0.160714285714286","0.428571428571429","0.3","0.413793103448276","10","4","0.689655172413793","0.525627625520868","9","0.0428180133098367","-0.467854688966115","5.93845433338065","2.66573804894786","8.92434547309669","16.2522222222222","101","21","14390","1039","0.00308641975308642","0.355863221041058","0"
"","13615","30","23","5.79228654304371","7.06739382636993","3276.24973746894","18.0181818181818","5.99510807819631","0.253968253968254","0.80952380952381","0.260869565217391","0.863636363636364","4","2","0.863636363636364","0.287805560960289","3","0.0686686527319892","1.97112516727686","7.24558851783048","2.34393801873802","6.81704268341261","30.2041587901701","231","20","7806","543","0.00409836065573771","0.299181378355304","1"
"","13753","25","21","-0.100241219049268","0.0237900352174747","3909.85808248157","10.3684210526316","10.4","0.263157894736842","0.473684210526316","0.571428571428571","0.35","8","2","0.6","0.623041125541126","6","0.0590295280557107","-0.63839146205846","2.85464049225603","1.40070740221519","3.5706902303435","33.1292517006803","241","14","5194","491","0.00609756097560976","0.396518453474107","1"
"","13785","30","18","3.28756162138515","4.28111531821934","8737.27798579347","13.2619047619048","5.68013375513376","0.229166666666667","0.75","0.333333333333333","0.823529411764706","4","2","0.823529411764706","0.353614057031012","3","0.0431603204730525","1.52543339935551","4.24700160828279","1.92860556391908","5.85224166586495","47.7901234567901","270","15","3654","343","0.00699300699300699","0.359881504962846","1"
"","13818","20","13","-0.0525752025752028","0.0894437015599469","6656.43326668077","6.20606060606061","6.36666666666667","0.272727272727273","0.454545454545455","0.461538461538462","0.5","6","2","0.666666666666667","0.618154761904762","4","0.0218197506805567","0.209695837702824","1.28555768438923","1.60588055858881","3.97962845220186","37.7988165680473","258","11","1496","171","0.0121951219512195","0.428440586016151","1"
